fitur,value
miR-155,0.09796765734265733
miR-379,0.07500316255534471
miR-27a,0.06252873563218392
miR-10b*,0.057857142857142864
miR-497*,0.05612387612387613
miR-125b-1*,0.05518367346938776
miR-133b,0.047755102040816316
miR-139-5p,0.04640198511166254
miR-203,0.04557125903549465
miR-10b,0.03888888888888889
miR-140-5p,0.03223214285714286
miR-204,0.029050211736237137
miR-1,0.02763287529167747
miR-708,0.025396825396825397
miR-30c-1*,0.024691358024691353
miR-222,0.021857142857142856
miR-181a,0.02089285714285714
miR-125a-3p,0.019456001402171172
miR-147b,0.018216748768472908
miR-200a,0.016578947368421047
miR-143,0.015936580581889508
miR-328,0.015
miR-7,0.014814814814814817
miR-196b,0.01471742543171114
miR-629,0.0143068783068783
miR-125b-2*,0.012857142857142862
miR-744,0.011904761904761906
miR-339-5p,0.008366013071895426
miR-374a*,0.008038231780167264
miR-126,0.00802675585284281
let-7i,0.00794994479205006
miR-149,0.007916666666666666
miR-106a,0.00715495031284505
miR-195,0.006857142857142855
miR-151-5p,0.006428571428571428
Candidate-28 (miR-1180),0.004232804232804232
miR-23a,0.004232804232804232
miR-135a,0.0038647342995169094
miR-223,0.003809523809523807
miR-218,0.0025274725274725325
miR-642,0.0017701863354037286
